#OTU ID,AB2a143A,AB2a143B,AB2a200A,AB2a200B,AB2a237A,AB2a237B,AB2a247A,AB2a247B,AB2a267A,AB2a267B,AB2a900A,AB2a900B,AB2b143A,AB2b143B,AB2b200A,AB2b200B,AB2b237A,AB2b237B,AB2b247A,AB2b247B,AB2b267A,AB2b267B,AB2b900A,AB2b900B,taxonomy
denovo231149,186,413,8,7623,71692,41881,86767,201410,52952,88404,119,750,66,367,7356,14685,39560,86132,48522,197506,8269,216557,71,372,Bacteria;  __Proteobacteria;  __Gammaproteobacteria;  __Chromatiales;  __Ectothiorhodospiraceae;  __Thiorhodospira;  __uncultured_bacterium
denovo348086,6,0,0,19,134,287,179,2866,204,594,3585,79315,0,1,123,38,74,529,82,1093,35,5579,919,50007,Bacteria;  __Deferribacteres;  __Deferribacterales;  __SAR406_clade(Marine_group_A);  __uncultured_bacterium
denovo302903,1,2,0,1,274,32,268,1790,446,247,12688,77713,0,0,37,34,105,53,308,334,269,1381,8059,47312,Bacteria;  __Deferribacteres;  __Deferribacterales;  __SAR406_clade(Marine_group_A);  __uncultured_bacterium
denovo104772,18750,17350,3,10723,18122,6119,4050,337,168,3658,1,2,4056,7503,20010,17966,4998,11537,5380,5059,19,209,9,5,Bacteria;  __Proteobacteria;  __Alphaproteobacteria;  __SAR11_clade;  __Deep_1;  __uncultured_bacterium
denovo309274,314,8431,2,8995,6263,12219,3965,12034,762,14856,0,5,157,6582,1362,16940,3635,27928,1884,37166,150,17760,1,3,Bacteria;  __Deferribacteres;  __Deferribacterales;  __SAR406_clade(Marine_group_A);  __uncultured_bacterium
denovo26278,4129,2244,5,2286,51502,4072,41033,4199,2282,4879,36,112,1645,1595,21544,6144,16698,10114,14605,13419,147,5459,23,75,Bacteria;  __Proteobacteria;  __Gammaproteobacteria;  __E01-9C-26_marine_group;  __uncultured_gamma_proteobacterium_HF0130_26L16
denovo290780,2778,12085,6,12057,5483,3409,996,1336,163,1197,1,26,1296,9066,8493,36551,1862,9018,874,3734,29,1122,3,11,Bacteria;  __Proteobacteria;  __Gammaproteobacteria;  __Oceanospirillales;  __ZD0405;  __uncultured_bacterium
denovo118147,20,678,0,951,8535,8854,7976,28739,1467,19881,26,122,5,509,724,1889,4719,16765,3559,35621,421,24597,6,63,Bacteria;  __Deferribacteres;  __Deferribacterales;  __SAR406_clade(Marine_group_A);  __uncultured_bacterium
denovo258351,683,2350,4,7142,5235,2052,4635,7135,2533,2029,119,491,88,1613,1109,17956,1958,3914,3448,7009,241,6818,91,312,Bacteria;  __Proteobacteria;  __Gammaproteobacteria;  __Oceanospirillales;  __SUP05_cluster;  __deep-sea_mussel_NZ3_thioautotrophic_gill_symbiont
denovo408458,3580,24862,9,18207,2237,2289,475,65,21,925,6,2,574,18668,4864,38108,1001,4636,259,1813,7,53,3,3,Bacteria;  __Proteobacteria;  __Deltaproteobacteria;  __Desulfobacterales;  __Nitrospinaceae;  __Nitrospina;  __uncultured_marine_microorganism
denovo260142,41541,3759,9,4360,21362,357,17150,3965,7362,713,10446,11086,11597,2982,33392,50283,1180,447,299,27,20,8,269,202,Bacteria;  __Proteobacteria;  __Betaproteobacteria;  __Burkholderiales;  __Burkholderiaceae;  __Burkholderia;  __Burkholderia_glumae
denovo139931,4371,7321,1,4112,11387,5017,2734,648,289,3237,0,16,914,2658,10580,12610,2374,14383,5820,6843,23,443,12,8,Bacteria;  __Proteobacteria;  __Alphaproteobacteria;  __SAR11_clade;  __Surface_1;  __uncultured_bacterium
denovo340,861,25922,8,16158,591,3150,54,3,0,550,0,0,643,16647,2518,71226,83,6457,100,1664,0,2,2,1,Bacteria;  __Proteobacteria;  __Deltaproteobacteria;  __SAR324_clade(Marine_group_B);  __uncultured_marine_microorganism
denovo463083,58,21,0,258,4163,1649,7925,14935,5462,4692,21,34,5,29,598,432,2796,3219,3403,9025,835,15653,7,19,Bacteria;  __Proteobacteria;  __Gammaproteobacteria;  __Oceanospirillales;  __SUP05_cluster;  __uncultured_gamma_proteobacterium
denovo258053,301,613,0,7075,16436,8658,7900,5746,681,7467,8,40,38,409,3298,10846,7074,16102,4154,13440,72,5655,6,12,Bacteria;  __Proteobacteria;  __Deltaproteobacteria;  __Desulfobacterales;  __Nitrospinaceae;  __Nitrospina;  __uncultured_bacterium
denovo347909,24,4,1,1,1297,25,8483,1326,5913,121,35898,4592,3,0,43,15,1065,81,4052,465,1089,307,16921,6776,Bacteria;  __Bacteroidetes;  __Sphingobacteriia;  __Sphingobacteriales;  __WCHB1-69;  __uncultured_Bacteroidetes_bacterium
denovo88918,267,4192,2,7167,778,6110,404,11073,140,9592,1,12,85,2381,707,21824,238,10282,832,16643,25,8074,1,3,Bacteria;  __Proteobacteria;  __Deltaproteobacteria;  __SAR324_clade(Marine_group_B);  __uncultured_bacterium
denovo186784,569,5975,6,13592,2121,1994,443,30,6,763,0,0,198,4903,3480,23324,1123,4242,216,1893,0,19,5,2,Bacteria;  __Proteobacteria;  __Gammaproteobacteria;  __Salinisphaerales;  __Salinisphaeraceae;  __ZD0417_marine_group;  __uncultured_marine_bacterium
denovo353446,6804,4353,1,2611,3713,733,1056,91,36,259,1,9,1359,3587,5060,4697,1951,1640,608,626,11,65,0,0,Bacteria;  __Bacteroidetes;  __Flavobacteria;  __Flavobacteriales;  __Flavobacteriaceae;  __Sufflavibacter;  __uncultured_bacterium
denovo170930,1005,5583,5,11094,557,2776,106,7,7,783,1,0,363,3813,1688,46248,242,5651,469,1964,0,3,2,0,Bacteria;  __Proteobacteria;  __Deltaproteobacteria;  __SAR324_clade(Marine_group_B);  __uncultured_bacterium
denovo30554,790,3,1,41,19083,5,20648,0,8062,3,28,4,1596,11,19197,1,10950,14,12128,12,287,3,22,1,Bacteria;  __Planctomycetes;  __OM190;  __uncultured_bacterium
denovo96531,35,0,0,1,465,1,3838,26,16589,5,4829,628,7,1,33,0,380,2,1004,0,950,4,2139,330,Bacteria;  __Fibrobacteres;  __Fibrobacteria;  __P.palm_C70;  __uncultured_bacterium
denovo179427,0,47,1,0,542,12,75500,989,12965,627,2898,919,572,56,3,3,307,12,3,20,4,3,1,14,Bacteria;  __Firmicutes;  __Bacilli;  __Bacillales;  __Bacillaceae;  __Bacillus;  __Bacillus_sp._Asd3
denovo483853,1,2,0,0,12,0,80,40,207,9,20944,11112,1,1,9,1,7,0,16,9,25,13,10079,8266,Bacteria;  __Spirochaetes;  __MSBL8;  __uncultured_bacterium
denovo211327,3870,5523,1,4299,2720,1039,1634,105,40,520,5,13,1099,3788,13037,5292,1365,2173,660,1046,10,54,8,10,Bacteria;  __Proteobacteria;  __Gammaproteobacteria;  __E01-9C-26_marine_group;  __uncultured_bacterium
denovo26288,352,4850,0,7705,849,912,192,66,26,217,0,1,60,4648,1311,12431,529,1531,98,483,4,44,0,6,Bacteria;  __Bacteroidetes;  __Cytophagia;  __Cytophagales;  __Flammeovirgaceae;  __Marinoscillum;  __uncultured_bacterium
denovo422245,657,7901,1,8130,774,1355,181,6,1,448,0,0,122,5775,1288,16148,488,2364,143,823,1,10,0,1,Bacteria;  __Deferribacteres;  __Deferribacterales;  __SAR406_clade(Marine_group_A);  __uncultured_bacterium
denovo304849,1565,8238,0,3400,665,509,51,3,4,35,0,0,611,6482,1245,7805,219,1010,22,81,0,5,1,1,Bacteria;  __Deferribacteres;  __Deferribacterales;  __SAR406_clade(Marine_group_A);  __uncultured_bacterium
denovo14138,2688,181,0,66,795,11,150,13,25,4,35,13,642,159,2168,172,498,14,75,14,3,1,7,14,Bacteria;  __Bacteroidetes;  __Sphingobacteriia;  __Sphingobacteriales;  __Saprospiraceae;  __uncultured;  __uncultured_Saprospiraceae_bacterium
denovo326999,5,18,0,272,1523,3750,1103,9168,304,6642,1,1,0,21,362,580,763,6270,600,11173,70,5361,0,1,Bacteria;  __Deferribacteres;  __Deferribacterales;  __SAR406_clade(Marine_group_A);  __uncultured_marine_bacterium
denovo408345,1447,5898,1,3423,1002,408,110,29,3,89,5,1,700,4670,2829,8484,497,852,96,173,5,14,1,2,Bacteria;  __Bacteroidetes;  __Flavobacteria;  __Flavobacteriales;  __Flavobacteriaceae;  __NS2b_marine_group;  __uncultured_bacterium
denovo81510,1617,781,0,539,1268,16,75,0,4,2,0,0,6051,576,48701,1461,395,67,96,2,8,0,8,0,Bacteria;  __Firmicutes;  __Clostridia;  __Thermoanaerobacterales;  __Thermodesulfobiaceae;  __Coprothermobacter;  __Coprothermobacter_sp._Dex80-4
